customer_unique_id,recency,frequency,monetary,first_order_date,last_order_date,customer_lifetime_days,days_since_first_purchase,orders_last_7_days,orders_last_30_days,orders_last_90_days,orders_last_180_days,monetary_last_30_days,monetary_last_90_days,avg_order_value,max_order_value,min_order_value,total_items,avg_items_per_order,total_unique_products,total_unique_categories,avg_review_score,min_review_score,low_review_ratio,avg_delivery_delay,max_delivery_delay,late_delivery_ratio,avg_installments,weekend_order_ratio,avg_days_between_orders,orders_per_month,spend_per_month,recency_ratio,purchase_acceleration,recent_spend_ratio,monetary_per_item,churn_label
0000f46a3911fa3c0805444483337064,221,1,86.22,"2017-03-10 21:05:03","2017-03-10 21:05:03",0,221,0,0,0,0,0.00,0.00,86.220000,86.22,86.22,1,1.0000,1,1,3.00000000,3.0000,0.00000,-2.0000,-2,0.00000,8.00000000,0.00000,NULL,1,86.22,NULL,0.00000,0.0000000,86.2200000,1
0000f6ccb0745a6a4b88665a16c9f078,5,1,43.62,"2017-10-12 20:29:41","2017-10-12 20:29:41",0,5,1,1,1,1,43.62,43.62,43.620000,43.62,43.62,1,1.0000,1,1,4.00000000,4.0000,0.00000,-12.0000,-12,0.00000,4.00000000,0.00000,NULL,1,43.62,NULL,1.00000,1.0000000,43.6200000,1
0005e1862207bf6ccc02e4228effd9a0,227,1,150.12,"2017-03-04 23:32:12","2017-03-04 23:32:12",0,227,0,0,0,0,0.00,0.00,150.120000,150.12,150.12,1,1.0000,1,1,4.00000000,4.0000,0.00000,-28.0000,-28,0.00000,3.00000000,1.00000,NULL,1,150.12,NULL,0.00000,0.0000000,150.1200000,1
0006fdc98a402fceb4eb0ee528f6a8d4,91,1,29.00,"2017-07-18 09:23:10","2017-07-18 09:23:10",0,91,0,0,0,1,0.00,0.00,29.000000,29.00,29.00,1,1.0000,1,1,3.00000000,3.0000,0.00000,-12.0000,-12,0.00000,2.00000000,0.00000,NULL,1,29.00,NULL,0.00000,0.0000000,29.0000000,1
000a5ad9c4601d2bbdd9ed765d5213b3,67,1,91.28,"2017-08-11 13:45:15","2017-08-11 13:45:15",0,67,0,0,1,1,0.00,91.28,91.280000,91.28,91.28,1,1.0000,1,1,4.00000000,4.0000,0.00000,-15.0000,-15,0.00000,3.00000000,0.00000,NULL,1,91.28,NULL,0.00000,0.0000000,91.2800000,1
000bfa1d2f1a41876493be685390d6d3,18,1,46.85,"2017-09-29 14:46:58","2017-09-29 14:46:58",0,18,0,1,1,1,46.85,46.85,46.850000,46.85,46.85,1,1.0000,1,1,4.50000000,4.5000,0.00000,-13.0000,-13,0.00000,4.00000000,0.00000,NULL,1,46.85,NULL,1.00000,1.0000000,46.8500000,1
000de6019bb59f34c099a907c151d855,61,1,257.44,"2017-08-17 19:10:33","2017-08-17 19:10:33",0,61,0,0,1,1,0.00,257.44,257.440000,257.44,257.44,2,2.0000,2,1,2.00000000,2.0000,1.00000,-16.0000,-16,0.00000,4.00000000,0.00000,NULL,1,257.44,NULL,0.00000,0.0000000,128.7200000,1
0010a452c6d13139e50b57f19f52e04e,98,1,325.93,"2017-07-11 11:22:43","2017-07-11 11:22:43",0,98,0,0,0,1,0.00,0.00,325.930000,325.93,325.93,1,1.0000,1,1,1.00000000,1.0000,1.00000,-19.0000,-19,0.00000,10.00000000,0.00000,NULL,1,325.93,NULL,0.00000,0.0000000,325.9300000,1
001147e649a7b1afd577e873841632dd,47,1,212.16,"2017-08-31 17:12:56","2017-08-31 17:12:56",0,47,0,0,1,1,0.00,212.16,212.160000,212.16,212.16,2,2.0000,1,1,4.00000000,4.0000,0.00000,-14.0000,-14,0.00000,1.00000000,0.00000,NULL,1,212.16,NULL,0.00000,0.0000000,106.0800000,1
00115fc7123b5310cf6d3a3aa932699e,269,1,76.11,"2017-01-21 21:58:35","2017-01-21 21:58:35",0,269,0,0,0,0,0.00,0.00,76.110000,76.11,76.11,1,1.0000,1,1,4.00000000,4.0000,0.00000,-33.0000,-33,0.00000,1.00000000,1.00000,NULL,1,76.11,NULL,0.00000,0.0000000,76.1100000,1
0011805441c0d1b68b48002f1d005526,176,1,297.14,"2017-04-24 13:36:48","2017-04-24 13:36:48",0,176,0,0,0,1,0.00,0.00,297.140000,297.14,297.14,1,1.0000,1,1,3.00000000,3.0000,0.00000,-13.0000,-13,0.00000,10.00000000,0.00000,NULL,1,297.14,NULL,0.00000,0.0000000,297.1400000,1
0011857aff0e5871ce5eb429f21cdaf5,111,1,192.83,"2017-06-28 11:08:38","2017-06-28 11:08:38",0,111,0,0,0,1,0.00,0.00,192.830000,192.83,192.83,1,1.0000,1,1,5.00000000,5.0000,0.00000,-20.0000,-20,0.00000,3.00000000,0.00000,NULL,1,192.83,NULL,0.00000,0.0000000,192.8300000,1
0011c98589159d6149979563c504cb21,73,1,117.94,"2017-08-05 14:08:47","2017-08-05 14:08:47",0,73,0,0,1,1,0.00,117.94,117.940000,117.94,117.94,1,1.0000,1,1,5.00000000,5.0000,0.00000,-28.0000,-28,0.00000,5.00000000,1.00000,NULL,1,117.94,NULL,0.00000,0.0000000,117.9400000,1
0012929d977a8d7280bb277c1e5f589d,0,1,155.65,"2017-10-17 15:46:36","2017-10-17 15:46:36",0,0,1,1,1,1,155.65,155.65,155.650000,155.65,155.65,1,1.0000,1,1,1.00000000,1.0000,1.00000,-15.0000,-15,0.00000,1.00000000,0.00000,NULL,1,155.65,NULL,1.00000,1.0000000,155.6500000,1
